file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\hardware\SensorManager.java,android.hardware.SensorManager,class,20,28,8,20,145,1,3,40,1550,0.98947364,0.0,0.0,57,10,38,3,15,1,54,15,0,0,65,63,61,3,1,0,64,0,26,581,44,8,52,0,29,10,384,313,151,153,5,0,1,0,900,1025,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\widget\DayPickerViewPager.java,android.widget.DayPickerViewPager,class,9,9,0,9,26,2,0,37,15,0.8333333,0.0,0.0,6,0,4,0,2,0,6,0,0,0,1,0,0,1,0,0,1,0,6,95,4,3,14,0,0,0,10,34,7,22,4,0,0,0,96,0,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\content\pm\PackageInstaller.java,android.content.pm.PackageInstaller$SessionCallbackDelegate,innerclass,2,2,0,2,6,2,0,3,0,0.71428573,0.0,0.0,6,0,5,0,0,1,6,0,0,0,7,5,0,5,0,2,7,0,0,28,0,0,0,0,0,0,5,7,0,7,0,0,0,0,37,8,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\apct-tests\perftests\core\src\android\libcore\varhandles\VarHandleGetFieldLittleEndianStringPerfTest.java,android.libcore.varhandles.VarHandleGetFieldLittleEndianStringPerfTest,class,8,8,0,8,5,1,0,6,0,0.5833334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,1,1,0,0,3,1,0,1,23,0,1,1,0,0,3,0,8,1,7,1,0,0,0,35,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\src\com\android\systemui\keyboard\KeyboardUI.java,com.android.systemui.keyboard.KeyboardUI$KeyboardHandler,innerclass,7,7,0,7,14,2,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1,0,0,0,1,9,0,8,2,0,0,0,48,18,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\os\UserBatteryConsumer.java,android.os.UserBatteryConsumer$Builder,innerclass,5,5,0,5,6,2,0,5,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,22,1,1,2,0,0,0,2,3,1,3,2,0,0,0,46,25,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\libs\WindowManager\Shell\tests\unittest\src\com\android\wm\shell\recents\RecentsTransitionHandlerTest.java,com.android.wm.shell.recents.RecentsTransitionHandlerTest,class,50,51,1,50,14,2,0,48,0,0.857143,0.0,0.0,14,0,11,3,0,0,11,0,0,0,19,1,1,18,0,0,1,0,3,141,3,0,0,0,0,4,0,30,0,40,0,0,1,1,116,1,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\packages\SystemUI\accessibility\accessibilitymenu\src\com\android\systemui\accessibility\accessibilitymenu\activity\A11yMenuSettingsActivity.java,com.android.systemui.accessibility.accessibilitymenu.activity.A11yMenuSettingsActivity$A11yMenuPreferenceFragment,innerclass,10,10,0,10,7,2,0,25,6,0.0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,2,0,0,0,3,5,0,5,2,1,0,0,56,9,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\view\ViewRootImpl.java,android.view.ViewRootImpl$SyntheticJoystickHandler,innerclass,9,9,0,9,13,2,0,23,6,0.65,0.0,0.0,5,0,3,2,0,0,3,0,0,0,4,2,0,4,0,0,4,0,3,166,0,2,1,0,0,1,10,13,2,13,2,0,1,0,89,16,0
C:\Users\lucas\OneDrive\Documentos\Lucas\GitHub\Lab-Experiment-2\Repo-Testados\repo_228\core\java\android\app\smartspace\uitemplatedata\SubListTemplateData.java,android.app.smartspace.uitemplatedata.SubListTemplateData$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
